ID,First,Last,Institution,Website,Picture
1,Chris,Baldassano,Columbia University,http://www.dpmlab.org/,baldassano.jpg
2,Luke,Chang,Dartmouth College,http://cosanlab.com,chang.jpg
3,Jeremy,Manning,Dartmouth College,http://www.context-lab.com/,manning.png
4,Carolyn,Parkinson,University of California Los Angeles,http://csnlab.org,parkinson.jpg
5,Emily,Finn,Dartmouth College,https://esfinn.github.io/,finn.jpg
6,Tor,Wager,Dartmouth College,https://sites.dartmouth.edu/canlab/,wager.jpg
7,Linda,Geerligs,"Donders Institute for Brain, Cognition, and Behavior",https://lindageerligs.com/,geerligs.png
8,Juha,Lahnakoski,Forschungszentrum JŸlich,https://users.aalto.fi/~jlahnako/,lahnakoski.jpg
9,Won Mok,Shim,SungKyunKwan University,http://wshimlab.com/,shim.jpg
10,Tal,Yarkoni,University of Texas at Austin,ttps://talyarkoni.org/,yarkoni.jpg
11,Yaara,Yeshurun,Tel-Aviv University,https://people.socsci.tau.ac.il/mu/yaarayeshurun/,yeshurun.jpg
